condition_id,predictor_set,scenario,n_train,n_test,n_sets,p_per_set,rho_within,rho_between,target_r2,nonlinearity_strength,seed_base,n_rep_all,n_rep_stable,mean_delta_component_correlation_all,mean_delta_component_correlation_stable,mcse_delta_component_correlation_all,mcse_delta_component_correlation_stable,component_correlation_ci_lower_all,component_correlation_ci_lower_stable,component_correlation_ci_upper_all,component_correlation_ci_upper_stable,kernel_component_correlation_win_rate_all,kernel_component_correlation_win_rate_stable,mean_delta_component_rmse_all,mean_delta_component_rmse_stable,mcse_delta_component_rmse_all,mcse_delta_component_rmse_stable,component_rmse_ci_lower_all,component_rmse_ci_lower_stable,component_rmse_ci_upper_all,component_rmse_ci_upper_stable,kernel_component_rmse_win_rate_all,kernel_component_rmse_win_rate_stable,n_train_factor,p_per_set_factor,target_r2_factor
12,2,nonlinear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,500,0.262982101060957,0.262982101060957,0.00888235106907704,0.00888235106907704,0.24553068485447,0.24553068485447,0.280433517267444,0.280433517267444,0.908,0.908,-0.0624378230681761,-0.0624378230681761,0.00299719380869231,0.00299719380869231,-0.0683264978346002,-0.0683264978346002,-0.056549148301752,-0.056549148301752,0.882,0.882,300,20,0.3
12,3,nonlinear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,500,0.21694561969553,0.21694561969553,0.00552824679393101,0.00552824679393101,0.20608411073886,0.20608411073886,0.227807128652199,0.227807128652199,0.972,0.972,-0.129442863150531,-0.129442863150531,0.0026774758109357,0.0026774758109357,-0.134703378569935,-0.134703378569935,-0.124182347731128,-0.124182347731128,0.974,0.974,300,20,0.3
13,1,linear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00274812642565613,-0.00274812642565613,4.8020230168279e-4,4.8020230168279e-4,-0.00369159400139225,-0.00369159400139225,-0.00180465884992001,-0.00180465884992001,0.398,0.398,0.0122068808352128,0.0122068808352128,0.00173389171397026,0.00173389171397026,0.00880025282398537,0.00880025282398537,0.0156135088464401,0.0156135088464401,0.402,0.402,150,5,0.6
13,2,linear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00357894065267737,-0.00357894065267737,5.2656965816342e-4,5.2656965816342e-4,-0.00461350753647338,-0.00461350753647338,-0.00254437376888136,-0.00254437376888136,0.394,0.394,0.0127514808342589,0.0127514808342589,0.00161221253265448,0.00161221253265448,0.00958391948683392,0.00958391948683392,0.0159190421816838,0.0159190421816838,0.394,0.394,150,5,0.6
13,3,linear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.00491084500210187,-0.00491084500210187,8.2809810509468e-4,8.2809810509468e-4,-0.00653783368780262,-0.00653783368780262,-0.00328385631640113,-0.00328385631640113,0.442,0.442,0.0133936355861157,0.0133936355861157,0.00203409246965031,0.00203409246965031,0.00939719432700699,0.00939719432700699,0.0173900768452244,0.0173900768452244,0.448,0.448,150,5,0.6
14,1,mixed,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,-0.0233510436279127,-0.0233510436279127,0.00140129500510227,0.00140129500510227,-0.0261042091098814,-0.0261042091098814,-0.020597878145944,-0.020597878145944,0.186,0.186,0.0823174877482548,0.0823174877482548,0.00410426147349554,0.00410426147349554,0.0742537246029797,0.0742537246029797,0.0903812508935299,0.0903812508935299,0.186,0.186,150,5,0.6
14,2,mixed,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.788305261188672,0.788305261188672,0.00558710024502746,0.00558710024502746,0.777328121126872,0.777328121126872,0.799282401250472,0.799282401250472,0.996,0.996,-0.473152157202494,-0.473152157202494,0.00758865049882986,0.00758865049882986,-0.488061801875479,-0.488061801875479,-0.45824251252951,-0.45824251252951,0.998,0.998,150,5,0.6
14,3,mixed,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.13967930759322,0.13967930759322,0.00334511233168268,0.00334511233168268,0.133107067079008,0.133107067079008,0.146251548107432,0.146251548107432,0.982,0.982,-0.153271352507357,-0.153271352507357,0.00345858835101307,0.00345858835101307,-0.16006654269192,-0.16006654269192,-0.146476162322794,-0.146476162322794,0.984,0.984,150,5,0.6
15,1,nonlinear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.23864556023097,0.23864556023097,0.00265003151993079,0.00265003151993079,0.233438965416718,0.233438965416718,0.243852155045222,0.243852155045222,1,1,-0.228441127853259,-0.228441127853259,0.00294392622235312,0.00294392622235312,-0.234225146227215,-0.234225146227215,-0.222657109479302,-0.222657109479302,1,1,150,5,0.6
15,2,nonlinear,150,1000,3,5,0.4,0.1,0.6,0.35,20260707,500,500,0.733458207781303,0.733458207781303,0.00540719072317328,0.00540719072317328,0.722834541244809,0.722834541244809,0.744081874317798,0.744081874317798,1,1,-0.384934685487002,-0.384934685487002,0.00664112794221053,0.00664112794221053,-0.397982704744372,-0.397982704744372,-0.371886666229631,-0.371886666229631,1,1,150,5,0.6
