condition_id,scenario,n_train,p_per_set,target_r2,n_test,n_sets,rho_within,rho_between,nonlinearity_strength,seed_base,n_rep_requested,n_rep_observed,n_final_converged,n_final_nonconverged,n_final_interpolating,n_final_stable,n_operational_failures,selected_eligibility_rate,selected_cv_full_convergence_rate,unrestricted_minimum_exclusion_rate,final_convergence_rate,final_nonconvergence_rate,final_interpolation_rate,final_stable_rate,final_operational_failure_rate,lambda_lower_boundary_rate,lambda_upper_boundary_rate,sigma_lower_boundary_rate,sigma_upper_boundary_rate,any_boundary_rate,median_lambda,median_sigma,median_cv_mse,mean_elapsed_seconds,report_nonconvergence,report_interpolation,report_boundary_concentration,n_rep_all,n_rep_stable,mean_delta_r2_all,mean_delta_r2_stable,sd_delta_r2_all,sd_delta_r2_stable,mcse_delta_r2_all,mcse_delta_r2_stable,delta_r2_ci_lower_all,delta_r2_ci_lower_stable,delta_r2_ci_upper_all,delta_r2_ci_upper_stable,mean_delta_mse_all,mean_delta_mse_stable,mcse_delta_mse_all,mcse_delta_mse_stable,delta_mse_ci_lower_all,delta_mse_ci_lower_stable,delta_mse_ci_upper_all,delta_mse_ci_upper_stable,mean_delta_prediction_correlation_all,mean_delta_prediction_correlation_stable,mcse_delta_prediction_correlation_all,mcse_delta_prediction_correlation_stable,kernel_r2_win_rate_all,kernel_r2_win_rate_stable,kernel_mse_win_rate_all,kernel_mse_win_rate_stable,mean_mse_reduction_all,mean_mse_reduction_stable,mean_kernel_train_test_gap_all,mean_kernel_train_test_gap_stable,mean_linear_train_test_gap_all,mean_linear_train_test_gap_stable,n_train_factor,p_per_set_factor,target_r2_factor
11,mixed,300,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,499,1,0,499,1,1,1,0.38,0.998,0.002,0,0.998,0.002,0.002,0.39,0,0.196,0.5,10,12,4.28590361342301,83.7951600000001,TRUE,FALSE,TRUE,500,499,0.0844923429023677,0.0844978631050395,0.0520511175162586,0.0521032049594267,0.00232779674142368,0.00233245978988511,0.0799188522282472,0.0799151884296485,0.0890658335764881,0.0890805377804305,-0.391236284223902,-0.391260460981114,0.0108819118032789,0.0109037142256393,-0.41261629617394,-0.412683413379363,-0.369856272273864,-0.369837508582866,0.0113203517001941,0.0114210175664988,0.00228038567327924,0.00228273272131588,0.948,0.947895791583166,0.948,0.947895791583166,0.0808577206752862,0.0808701304722824,0.174479140235549,0.174483938994395,0.369833426827463,0.369703903226241,300,20,0.3
12,nonlinear,300,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.548,1,0,0,1,0,0,0.746,0,0.138,0.756,1000,6,4.27359604477928,84.6285200000004,FALSE,FALSE,TRUE,500,500,0.173257361727411,0.173257361727411,0.0545856506100103,0.0545856506100103,0.00244114450720072,0.00244114450720072,0.168461173366466,0.168461173366466,0.178053550088357,0.178053550088357,-0.792394549633713,-0.792394549633713,0.0114717531289368,0.0114717531289368,-0.814933440172291,-0.814933440172291,-0.769855659095136,-0.769855659095136,0.0940083452017097,0.0940083452017097,0.00242354091926299,0.00242354091926299,1,1,1,1,0.152256378517459,0.152256378517459,0.138355080386649,0.138355080386649,0.407189459397574,0.407189459397574,300,20,0.3
13,linear,150,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.662,0,0,0.524,0.668,1e-4,96,1.07560032321704,24.6103600000001,FALSE,FALSE,TRUE,500,500,-0.00485723529234217,-0.00485723529234217,0.0152325738584812,0.0152325738584812,6.81221412397e-4,6.81221412397e-4,-0.00619565102304871,-0.00619565102304871,-0.0035188195616356298,-0.0035188195616356298,0.0117686316718827,0.0117686316718827,0.00166225542603842,0.00166225542603842,0.0085027495810163,0.0085027495810163,0.0150345137627492,0.0150345137627492,-0.00241841888946341,-0.00241841888946341,3.5054635767924e-4,3.5054635767924e-4,0.37,0.37,0.37,0.37,-0.0112973224849609,-0.0112973224849609,0.0969105680440702,0.0969105680440702,0.0825845545094081,0.0825845545094081,150,5,0.6
14,mixed,150,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.316,0.002,0,0.002,0.32,0.001,12,1.32188778416927,27.0794200000001,FALSE,FALSE,TRUE,500,500,0.15829060524113,0.15829060524113,0.0644065156940842,0.0644065156940842,0.00288034694571759,0.00288034694571759,0.152631502940637,0.152631502940637,0.163949707541623,0.163949707541623,-0.383491857578233,-0.383491857578233,0.00789384063739804,0.00789384063739804,-0.399001118286302,-0.399001118286302,-0.367982596870164,-0.367982596870164,0.134277902003475,0.134277902003475,0.00211476709918787,0.00211476709918787,0.99,0.99,0.99,0.99,0.220197786051124,0.220197786051124,0.230891307811181,0.230891307811181,0.146394510117136,0.146394510117136,150,5,0.6
15,nonlinear,150,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.036,1,0,0,1,0,0.082,0.05,0,0,0.132,1,3,1.53580501639073,24.3887599999998,FALSE,FALSE,FALSE,500,500,0.228379058239721,0.228379058239721,0.0662586158455755,0.0662586158455755,0.00296317538251503,0.00296317538251503,0.222557220475043,0.222557220475043,0.2342008960044,0.2342008960044,-0.538307202476829,-0.538307202476829,0.0081075065771121,0.0081075065771121,-0.554236258936507,-0.554236258936507,-0.522378146017151,-0.522378146017151,0.245338265214028,0.245338265214028,0.00234259794134695,0.00234259794134695,0.996,0.996,0.996,0.996,0.25262184477686,0.25262184477686,0.319841411954718,0.319841411954718,0.186555557157199,0.186555557157199,150,5,0.6
16,linear,300,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.724,0,0,0.62,0.732,1e-4,96,1.00391710734659,52.5192199999996,FALSE,FALSE,TRUE,500,500,-0.00180664315865681,-0.00180664315865681,0.00445895896313406,0.00445895896313406,1.9941070700899e-4,1.9941070700899e-4,-0.00219843123559501,-0.00219843123559501,-0.0014148550817186,-0.0014148550817186,0.00432340678948215,0.00432340678948215,4.7775853262049e-4,4.7775853262049e-4,0.00338474055864752,0.00338474055864752,0.00526207302031678,0.00526207302031678,-9.7375316531978e-4,-9.7375316531978e-4,1.1135760430708e-4,1.1135760430708e-4,0.378,0.378,0.378,0.378,-0.00433942672449969,-0.00433942672449969,0.046158300776789,0.046158300776789,0.0385183817443242,0.0385183817443242,300,5,0.6
17,mixed,300,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.574,0,0,0,0.574,1e-4,24,1.13405074340411,52.0377599999999,FALSE,FALSE,TRUE,500,500,0.191283205915394,0.191283205915394,0.0467186890260583,0.0467186890260583,0.0020893232896388,0.0020893232896388,0.187178251040966,0.187178251040966,0.195388160789822,0.195388160789822,-0.4517964650093,-0.4517964650093,0.00593033772420415,0.00593033772420415,-0.463447973834527,-0.463447973834527,-0.440144956184073,-0.440144956184073,0.149502855644081,0.149502855644081,0.00150931413874653,0.00150931413874653,1,1,1,1,0.284420380304445,0.284420380304445,0.128077406310325,0.128077406310325,0.0688815167846088,0.0688815167846088,300,5,0.6
18,nonlinear,300,5,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.09,0,0,0,0.09,0.1,3,1.28837616620897,51.6806799999998,FALSE,FALSE,FALSE,500,500,0.286021850805468,0.286021850805468,0.0477943887887387,0.0477943887887387,0.00213743004549347,0.00213743004549347,0.281822379173907,0.281822379173907,0.290221322437029,0.290221322437029,-0.660355928841685,-0.660355928841685,0.00609879979380312,0.00609879979380312,-0.672338420046319,-0.672338420046319,-0.64837343763705,-0.64837343763705,0.274866411350699,0.274866411350699,0.00178341484272789,0.00178341484272789,1,1,1,1,0.336448057057578,0.336448057057578,0.215694842128772,0.215694842128772,0.0861471192101106,0.0861471192101106,300,5,0.6
19,linear,150,20,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.24,1,0,0,1,0,0.106,0.014,0,0.194,0.212,0.001,96,1.58408787813989,34.0405000000005,FALSE,FALSE,FALSE,500,500,0.027237347662375,0.027237347662375,0.0706287498384272,0.0706287498384272,0.00315861371609101,0.00315861371609101,0.0210315264595942,0.0210315264595942,0.0334431688651559,0.0334431688651559,-0.0642338257840542,-0.0642338257840542,0.00757798848397361,0.00757798848397361,-0.0791225224830834,-0.0791225224830834,-0.049345129085025,-0.049345129085025,-0.0118505657511869,-0.0118505657511869,0.00220967486779743,0.00220967486779743,0.738,0.738,0.738,0.738,0.0340395587698764,0.0340395587698764,0.339072845876517,0.339072845876517,0.433469788834058,0.433469788834058,150,20,0.6
20,mixed,150,20,0.6,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.226,1,0,0,1,0,0,0.156,0.004,0.208,0.346,1,12,1.88795201223196,34.7374599999995,FALSE,FALSE,TRUE,500,500,0.221313658001722,0.221313658001722,0.11352808095428,0.11352808095428,0.0050771301273774,0.0050771301273774,0.211338471218595,0.211338471218595,0.23128884478485,0.23128884478485,-0.523957827285544,-0.523957827285544,0.0120063233114296,0.0120063233114296,-0.547547003573211,-0.547547003573211,-0.500368650997878,-0.500368650997878,0.057948946584761,0.057948946584761,0.00323019210625911,0.00323019210625911,0.98,0.98,0.98,0.98,0.204053735987482,0.204053735987482,0.337795388081878,0.337795388081878,0.674706120878793,0.674706120878793,150,20,0.6
